iter	Passed	Remaining
0	390	389908
1	394	196915
2	397	132005
3	399	99387
4	401	79818
5	406	67357
6	408	57979
7	411	50978
8	413	45486
9	415	41086
10	416	37490
11	422	34762
12	424	32213
13	425	29986
14	427	28043
15	428	26342
16	429	24840
17	430	23504
18	432	22308
19	435	21353
20	437	20388
21	438	19509
22	440	18697
23	441	17956
24	442	17269
25	444	16633
26	445	16045
27	446	15500
28	450	15094
29	452	14639
30	454	14198
31	455	13793
32	457	13400
33	458	13030
34	459	12679
35	461	12348
36	464	12090
37	466	11816
38	468	11534
39	469	11270
40	471	11018
41	472	10774
42	473	10542
43	475	10320
44	476	10107
45	480	9957
46	481	9765
47	483	9580
48	484	9400
49	485	9227
50	486	9060
51	488	8899
52	489	8748
53	490	8600
54	495	8518
55	497	8382
56	498	8247
57	499	8118
58	501	7993
59	502	7871
60	503	7753
61	504	7639
62	506	7530
63	510	7464
64	511	7362
65	513	7262
66	514	7163
67	515	7068
68	517	6976
69	518	6886
70	519	6798
71	521	6715
72	525	6666
73	526	6586
74	527	6507
75	528	6430
76	530	6355
77	531	6281
78	532	6209
79	533	6139
80	535	6072
81	538	6026
82	540	5968
83	541	5909
84	543	5850
85	545	5793
86	546	5734
87	547	5675
88	548	5618
89	550	5562
90	554	5540
91	556	5489
92	557	5438
93	558	5387
94	560	5337
95	561	5287
96	562	5238
97	564	5191
98	565	5144
99	568	5120
100	570	5076
101	571	5033
102	573	4990
103	574	4948
104	575	4906
105	576	4865
106	578	4825
107	579	4785
108	582	4764
109	584	4732
110	586	4695
111	587	4658
112	588	4622
113	590	4586
114	591	4551
115	592	4516
116	593	4480
117	594	4447
118	599	4441
119	601	4411
120	602	4379
121	603	4346
122	605	4315
123	606	4284
124	607	4254
125	609	4224
126	610	4193
127	614	4183
128	615	4155
129	616	4127
130	618	4099
131	619	4072
132	620	4045
133	621	4018
134	623	3992
135	624	3966
136	628	3961
137	630	3938
138	631	3913
139	633	3888
140	634	3864
141	635	3838
142	636	3814
143	637	3791
144	639	3768
145	642	3760
146	644	3741
147	646	3719
148	647	3699
149	649	3679
150	650	3657
151	651	3636
152	653	3616
153	654	3596
154	656	3580
155	658	3562
156	659	3543
157	661	3523
158	662	3504
159	663	3485
160	664	3463
161	665	3444
162	667	3425
163	671	3423
164	673	3407
165	674	3389
166	675	3370
167	677	3353
168	678	3335
169	679	3318
170	680	3301
171	682	3284
172	684	3272
173	686	3256
174	687	3240
175	688	3223
176	689	3207
177	691	3191
178	692	3175
179	693	3159
180	694	3144
181	699	3143
182	700	3128
183	702	3113
184	703	3098
185	704	3083
186	705	3068
187	707	3053
188	708	3039
189	709	3025
190	713	3022
191	715	3009
192	716	2995
193	717	2981
194	718	2968
195	720	2954
196	721	2941
197	722	2927
198	724	2914
199	725	2900
200	727	2892
201	729	2880
202	730	2867
203	731	2855
204	733	2843
205	734	2831
206	735	2819
207	737	2807
208	742	2810
209	744	2799
210	745	2789
211	747	2778
212	748	2766
213	750	2755
214	751	2743
215	752	2732
216	757	2733
217	759	2722
218	760	2711
219	762	2703
220	763	2692
221	765	2681
222	766	2670
223	767	2659
224	770	2653
225	771	2642
226	772	2632
227	774	2622
228	775	2611
229	777	2601
230	778	2590
231	779	2580
232	780	2570
233	784	2569
234	786	2559
235	787	2550
236	788	2540
237	790	2530
238	791	2520
239	792	2510
240	793	2500
241	795	2490
242	798	2488
243	800	2481
244	802	2472
245	803	2463
246	805	2454
247	806	2445
248	807	2436
249	808	2426
250	810	2417
251	815	2420
252	816	2412
253	818	2403
254	819	2394
255	820	2385
256	821	2376
257	823	2367
258	824	2358
259	825	2350
260	831	2353
261	832	2345
262	834	2337
263	835	2329
264	836	2321
265	838	2312
266	839	2304
267	840	2296
268	845	2296
269	846	2289
270	848	2281
271	849	2273
272	850	2265
273	852	2257
274	853	2249
275	854	2241
276	855	2233
277	858	2229
278	859	2221
279	861	2214
280	862	2207
281	864	2200
282	865	2192
283	866	2185
284	868	2177
285	869	2170
286	871	2164
287	872	2157
288	874	2150
289	875	2143
290	876	2135
291	877	2128
292	879	2121
293	880	2114
294	881	2107
295	884	2103
296	885	2096
297	887	2089
298	888	2082
299	889	2075
300	891	2069
301	892	2062
302	893	2055
303	896	2053
304	899	2049
305	900	2042
306	901	2035
307	903	2029
308	904	2022
309	905	2015
